rank,name,tournament,year,variant,offsteam_listings,offsteam_censored,steam_volume_30d,lis_price,steam_price,steam_as_of,cagr_3y,history_years
unranked,Sticker | BIG (Holo) | Katowice 2019,Katowice 2019,2019,Holo,24,0,,8.26,,,unknown,
unranked,Sticker | DeadFox | Katowice 2019,Katowice 2019,2019,Paper,3,0,,1.41,,,unknown,
unranked,Sticker | FACEIT (Holo) | London 2018,London 2018,2018,Holo,25,0,,8.89,,,unknown,
unranked,Sticker | BIG (Holo) | London 2018,London 2018,2018,Holo,5,0,,79.59,,,unknown,
unranked,Sticker | Cloud9 (Holo) | London 2018,London 2018,2018,Holo,12,0,,37.400000000000006,,,unknown,
unranked,Sticker | EliGE (Foil) | London 2018,London 2018,2018,Foil,3,0,,33.56,,,unknown,
unranked,Sticker | Gambit Esports (Foil) | London 2018,London 2018,2018,Foil,7,0,,138.4,,,unknown,
unranked,Sticker | AZR | Berlin 2019,Berlin 2019,2019,Paper,5,0,,0.46,,,unknown,
unranked,Sticker | Astralis (Holo) | Berlin 2019,Berlin 2019,2019,Holo,20,0,,8.12,,,unknown,
unranked,Sticker | Boombl4 | Berlin 2019,Berlin 2019,2019,Paper,13,0,,1.07,,,unknown,
unranked,Sticker | CR4ZY (Holo) | Berlin 2019,Berlin 2019,2019,Holo,45,0,,0.69,,,unknown,
unranked,Sticker | CR4ZY | Berlin 2019,Berlin 2019,2019,Paper,19,0,,1.08,,,unknown,
unranked,Sticker | DeadFox (Foil) | Berlin 2019,Berlin 2019,2019,Foil,3,0,,4.58,,,unknown,
unranked,Sticker | DeadFox | Berlin 2019,Berlin 2019,2019,Paper,9,0,,1.22,,,unknown,
unranked,Sticker | DickStacy | Berlin 2019,Berlin 2019,2019,Paper,6,0,,78.295,,,unknown,
unranked,Sticker | DreamEaters (Holo) | Berlin 2019,Berlin 2019,2019,Holo,4,0,,0.935,,,unknown,
unranked,Sticker | ENCE | Berlin 2019,Berlin 2019,2019,Paper,3,0,,2.29,,,unknown,
unranked,Sticker | ESL | Cologne 2016,Cologne 2016,2016,Paper,13,0,,2.76,,,unknown,
unranked,Sticker | Gambit Gaming (Holo) | Cologne 2016,Cologne 2016,2016,Holo,9,0,,15.21,,,unknown,
unranked,Sticker | Team Liquid (Holo) | Cologne 2016,Cologne 2016,2016,Holo,24,0,,48.26,,,unknown,
unranked,Sticker | Team Liquid | Cologne 2016,Cologne 2016,2016,Paper,5,0,,9.49,,,unknown,
unranked,Sticker | Astralis | Cologne 2016,Cologne 2016,2016,Paper,3,0,,8.57,,,unknown,
unranked,Sticker | Counter Logic Gaming (Holo) | Cologne 2016,Cologne 2016,2016,Holo,29,0,,70.8,,,unknown,
unranked,Sticker | Counter Logic Gaming | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,3,0,,8.88,,,unknown,
unranked,Sticker | Natus Vincere | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,8,0,,3.6,,,unknown,
unranked,Sticker | Splyce | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,5,0,,34.85,,,unknown,
unranked,Sticker | AdreN (Foil) | MLG Columbus 2016,MLG Columbus 2016,2016,Foil,11,0,,39.96,,,unknown,
unranked,Sticker | Astralis | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,25,0,,4.95,,,unknown,
unranked,Sticker | Cloud9 | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,4,0,,27.299999999999997,,,unknown,
unranked,Sticker | FaZe Clan (Holo) | MLG Columbus 2016,MLG Columbus 2016,2016,Holo,16,0,,35.93,,,unknown,
unranked,Sticker | FaZe Clan | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,5,0,,4.03,,,unknown,
unranked,Sticker | Copenhagen Flames | Stockholm 2021,Stockholm 2021,2021,Paper,14,0,,0.61,,,unknown,
unranked,Sticker | Entropiq | Stockholm 2021,Stockholm 2021,2021,Paper,53,0,,0.76,,,unknown,
unranked,Sticker | Astralis (Holo) | Antwerp 2022,Antwerp 2022,2022,Holo,36,0,,9.16,,,unknown,
unranked,Sticker | Astralis | Antwerp 2022,Antwerp 2022,2022,Paper,27,0,,0.54,,,unknown,
unranked,Sticker | 00 Nation (Holo) | Rio 2022,Rio 2022,2022,Holo,85,0,,10.06,,,unknown,
unranked,Sticker | 9z Team (Holo) | Rio 2022,Rio 2022,2022,Holo,41,0,,2.8,,,unknown,
unranked,Sticker | 9z Team | Rio 2022,Rio 2022,2022,Paper,60,0,,0.26,,,unknown,
